#   E (cm^-1)     g  stage
       0.000   1.00      0
   15157.901   1.00      0
   15210.063   3.00      0
   15315.943   5.00      0
   20335.359   3.00      0
   20349.260   5.00      0
   20371.000   7.00      0
   21849.635   5.00      0
   23652.305   3.00      0
   31539.494   3.00      0
   33317.266   1.00      0
   35831.203  21.00      0
   35835.414   5.00      0
   36565.281   9.00      0
   36731.613   3.00      0
   37298.285   5.00      0
   37748.195   3.00      0
   37751.867   5.00      0
   37757.449   7.00      0
   49305.949   2.00      1
   62956.141   4.00      1
   63016.828   6.00      1
   74497.461   2.00      1
   74720.352   4.00      1
  145057.819   1.00      2
  348431.039   1.00      2
  348909.769   3.00      2
  349900.459   5.00      2
  357367.819   9.00      2
  358437.219   7.00      2
  359391.879   5.00      2
  370884.039   5.00      2
  371391.379   7.00      2
  372446.379   5.00      2
  372489.929   3.00      2
  373471.769   7.00      2
  387605.009   5.00      2
  388988.259   3.00      2
  390669.699   1.00      2
  392754.209   3.00      2
  417246.519   3.00      2
  555700.119   4.00      3
  558818.319   2.00      3
  708139.719   2.00      3
  757205.119   8.00      3
  757447.119   6.00      3
  757731.119   4.00      3
  757954.119   2.00      3
  774083.119  10.00      3
  775167.119   8.00      3
  775691.119   2.00      3
  775940.119   6.00      3
  776441.119   4.00      3
  777645.119   4.00      3
 1098295.119   5.00      4
 1100699.819   3.00      4
 1101570.719   1.00      4
 1117125.419   5.00      4
 1142131.619   1.00      4
 1252965.919   5.00      4
 1255055.319   3.00      4
 1256195.619   1.00      4
 1296139.619   3.00      4
 1352419.119   5.00      4
 1778525.119   2.00      5
