# height tau_500 colmass temperature v_turb hydrogen_density proton_density electron_density pressure p_ratio density
#     km        m/m      g/cm^2       K   km/s       cm^-3       cm^-3       cm^-3    dyn/cm^2  Pa/Pa      g/cm^3
 2218.20  0.000E+00  6.777E-06  100000  11.73  5.575E+09  5.575E+09  6.665E+09  1.857E-01  0.952  1.306E-14
 2216.50  7.696E-10  6.779E-06   95600  11.65  5.838E+09  5.837E+09  6.947E+09  1.857E-01  0.950  1.368E-14
 2214.89  1.531E-09  6.781E-06   90816  11.56  6.151E+09  6.150E+09  7.284E+09  1.858E-01  0.948  1.441E-14
 2212.77  2.597E-09  6.785E-06   83891  11.42  6.668E+09  6.667E+09  7.834E+09  1.859E-01  0.945  1.562E-14
 2210.64  3.754E-09  6.788E-06   75934  11.25  7.381E+09  7.378E+09  8.576E+09  1.860E-01  0.941  1.729E-14
 2209.57  4.384E-09  6.790E-06   71336  11.14  7.864E+09  7.858E+09  9.076E+09  1.860E-01  0.938  1.843E-14
 2208.48  5.065E-09  6.792E-06   66145  11.02  8.488E+09  8.476E+09  9.718E+09  1.861E-01  0.935  1.989E-14
 2207.38  5.814E-09  6.794E-06   60170  10.86  9.334E+09  9.307E+09  1.059E+10  1.862E-01  0.931  2.187E-14
 2206.27  6.643E-09  6.797E-06   53284  10.67  1.053E+10  1.047E+10  1.182E+10  1.862E-01  0.925  2.468E-14
 2205.72  7.095E-09  6.798E-06   49385  10.55  1.135E+10  1.125E+10  1.266E+10  1.863E-01  0.921  2.660E-14
 2205.21  7.553E-09  6.800E-06   45416  10.42  1.233E+10  1.217E+10  1.365E+10  1.863E-01  0.916  2.888E-14
 2204.69  8.049E-09  6.801E-06   41178  10.27  1.356E+10  1.332E+10  1.491E+10  1.863E-01  0.910  3.178E-14
 2204.17  8.607E-09  6.803E-06   36594  10.09  1.521E+10  1.483E+10  1.657E+10  1.864E-01  0.903  3.564E-14
 2203.68  9.192E-09  6.805E-06   32145   9.90  1.724E+10  1.667E+10  1.858E+10  1.864E-01  0.894  4.040E-14
 2203.21  9.811E-09  6.807E-06   27972   9.70  1.971E+10  1.887E+10  2.098E+10  1.865E-01  0.883  4.618E-14
 2202.75  1.050E-08  6.809E-06   24056   9.51  2.276E+10  2.154E+10  2.389E+10  1.866E-01  0.871  5.332E-14
 2202.27  1.133E-08  6.812E-06   20416   9.30  2.658E+10  2.483E+10  2.743E+10  1.866E-01  0.856  6.228E-14
